"","municipio","cod_municipio","uf","area_km2","desmatado","incremento","floresta","nuvem","nao_observado","nao_floresta","hidrografia","soma","ano"
"217","Pracuúba",1600550,"AP",4965,56.1,15,3659.9,0,3.9,1176,69.1,99,2003
"218","Poxoréo",5107008,"MT",6922,1838.8,3.7,110.4,0,0,4972.8,0,99,2003
"219","Porto Walter",1200393,"AC",6661,129.5,1.3,6526.9,0,1.6,3,0,99,2003
"220","Porto Velho",1100205,"RO",34631,5124.8,490.9,28299.8,0,23.4,431.9,751.1,100,2003
"221","Porto Rico do Maranhão",2109056,"MA",211,117.9,0.2,75.9,7.2,0,0.5,9.5,99,2003
"222","Porto Nacional",1718204,"TO",4472,0,0,0,0,561,4441.5,31.6,112,2003
"223","Porto Grande",1600535,"AP",4407,265.2,32.8,3461.2,0,21.4,639.8,19.4,100,2003
"224","Porto Franco",2109007,"MA",1427,531.3,1.5,119.3,0,0.1,760.7,15.6,100,2003
"225","Porto Estrela",5106851,"MT",2068,370.9,0.2,234.7,0,0,1462.4,0,100,2003
"226","Porto Esperidião",5106828,"MT",5833,352.6,36.5,232.4,0,6.5,5241.5,0,99,2003
"227","Porto dos Gaúchos",5106802,"MT",7048,2355,296.4,4621.4,0,0.1,48.5,23,99,2003
"228","Porto de Moz",1505908,"PA",17427,519.1,327.6,12315.8,0,2.7,3135.6,1453.8,100,2003
"229","Porto Alegre do Tocantins",1718006,"TO",505,0,0,0,0,505.1,505.6,0,200,2003
"230","Porto Alegre do Norte",5106778,"MT",3982,791.9,26.5,744.2,0,0,2445.9,0,100,2003
"231","Porto Acre",1200807,"AC",2703,1086,83.7,1614.2,0,2.8,0,0,100,2003
"232","Portel",1505809,"PA",25425,1026.8,50.6,23160.9,5.1,0.4,385.9,845.9,100,2003
"233","Pontes e Lacerda",5106752,"MT",8639,3726.5,77.7,1586.7,0,3,3322.8,0,100,2003
"234","Ponte Branca",5106703,"MT",687,0,0,0,0,604.7,685.8,0,187,2003
"235","Ponte Alta do Tocantins",1717909,"TO",6534,0,0,0,0,4989.2,6524.1,10.1,176,2003
"236","Ponte Alta do Bom Jesus",1717800,"TO",1818,0,0,0,0,1819.6,1815.8,0,199,2003
"237","Pontal do Araguaia",5106653,"MT",2755,0,0,0,0,2.2,2742.9,10.3,100,2003
"238","Ponta de Pedras",1505700,"PA",3378,50.3,0,608.7,0.1,1.9,2254.4,462.6,100,2003
"239","Poconé",5106505,"MT",17283,76.3,0,915.3,0,36.5,15557.9,697,99,2003
"240","Poção de Pedras",2108900,"MA",663,588.9,0,0,0,74.2,0.2,0,100,2003
"241","Planalto da Serra",5106455,"MT",2452,549.5,0.8,46.5,0,0.2,1855.8,0,100,2003
"242","Plácido de Castro",1200385,"AC",1988,1272,71.7,712.7,0,3.3,0,0,100,2003
"243","Placas",1505650,"PA",7173,1329.6,36.5,5843.2,0,0,0.1,0.1,100,2003
"244","Pium",1717503,"TO",10035,29,0,1673.4,0,0.9,8080.3,251.4,100,2003
"245","Piraquê",1717206,"TO",1374,1072.1,7.7,228.9,0,0.2,72.8,0,100,2003
"246","Pirapemas",2108801,"MA",698,253.3,0,2.2,0,442.5,0,0,100,2003
"247","Pio XII",2108702,"MA",550,479,0,0,0,0,48,23.6,100,2003
"248","Pinheiro",2108603,"MA",1482,856.3,1.8,105.2,0.3,0,414.3,105.9,100,2003
"249","Pindorama do Tocantins",1717008,"TO",1567,0,0,0,0,1567.4,1567.4,0,200,2003
"250","Pindaré-Mirim",2108504,"MA",275,202.4,0,0,0,0.1,52.8,20,100,2003
"251","Pimenteiras do Oeste",1101468,"RO",6065,1116.6,85.2,2462.3,0,33.9,2429.1,23.1,100,2003
"252","Pimenta Bueno",1100189,"RO",6280,2035.7,97,3192.4,0,0,1046.7,5.2,100,2003
"253","Piçarra",1505635,"PA",3322,2631.7,9.9,626.4,0,0,0,63.9,100,2003
"254","Peritoró",2108454,"MA",836,232.2,0,62.2,0,541.6,0,0,100,2003
"255","Peri Mirim",2108405,"MA",409,243.1,0.1,38.8,0,0,126.3,0.8,100,2003
"256","Pequizeiro",1716653,"TO",1213,833.7,6.9,76.4,0,0,302.9,0,100,2003
"257","Penalva",2108306,"MA",792,467.5,1.5,47.1,0.3,0,154.7,122.4,100,2003
"258","Peixoto de Azevedo",5106422,"MT",14400,2624.8,118.4,10528.5,0,2.9,1172.8,71,99,2003
"259","Peixe-Boi",1505601,"PA",454,343.5,27,0,0,111.2,17.1,3.7,104,2003
"260","Peixe",1716604,"TO",5315,0,0,0,0,5314.7,5316.3,0,200,2003
"261","Pedro do Rosário",2108256,"MA",1770,1658.7,2.5,41.9,0,0,69.4,0,100,2003
"262","Pedro Afonso",1716505,"TO",2021,19,1.1,32.8,0,0.1,1949.5,19.6,99,2003
"263","Pedreiras",2108207,"MA",292,179.7,0,0.6,0,111.7,0,0,100,2003
"264","Pedra Preta",5106372,"MT",4107,19.2,0,2.8,0,0,4085,0,100,2003
"265","Pedra Branca do Amapari",1600154,"AP",9495,187.8,0.1,9239.5,29.9,33.6,0,4.2,99,2003
"266","Paulo Ramos",2108108,"MA",1063,1064,0,0,0,0,0,0,100,2003
"267","Pauini",1303502,"AM",42877,179.6,12.5,42409.6,0,2.3,23.7,261.8,100,2003
"268","Pau D'Arco",1505551,"PA",1674,879.3,10.8,382.9,0,0.1,411.7,0,100,2003
"269","Pau D'Arco",1716307,"TO",1381,1108.8,0.1,155,0,0,83.7,33.5,100,2003
